deletion	gene	ions	growth	impact
YLR240W	VPS34	480	52.63925859	high
YPL031C	PHO85	429	50.75591417	high
YBR097W	VPS15	325	53.8214887	high
YJL106W	IME2	228	66.37967015	high
YDR477W	SNF1	180	90.80512687	high
YKL139W	CTK1	150	44.53457984	high
YBR125C	PTC4	135	103.4736853	high
YDL134C	PPH21	128	100.5123649	high
YIR026C	YVH1	122	64.47787125	high
YJL164C	TPK1	93	126.4107533	high
YKL126W	YPK1	84	56.88770833	high
YJL187C	SWE1	81	103.9192874	high
YGR188C	BUB1	81	123.9741084	high
YNL154C	YCK2	75	88.85941711	high
YBR059C	AKL1	75	89.9168146	high
YIL042C	PKP1	72	119.3668273	high
YDL047W	SIT4	66	74.05851096	high
YDR247W	VHS1	62	98.1570541	high
YLR362W	STE11	61	109.1383087	high
YIL035C	CKA1	60	112.4959022	high
YLR096W	KIN2	59	100.4288146	high
YNL020C	ARK1	56	93.05291113	high
YBL016W	FUS3	56	97.59631048	high
YPL140C	MKK2	54	120.4660289	high
YDL025C	YDL025C	54	89.03046326	high
YOL016C	CMK2	54	106.8325278	high
YCL024W	KCC4	51	103.3564949	high
YML016C	PPZ1	44	101.3377511	average
YKL048C	ELM1	43	83.89908951	average
YNL032W	SIW14	41	76.77646217	average
YOL113W	SKM1	41	110.9765492	average
YLL010C	PSR1	40	120.8921619	average
YNR031C	SSK2	39	100.4291389	average
YDR466W	PKH3	37	83.44738624	average
YDL101C	DUN1	36	91.3195731	average
YCR079W	PTC6	35	100.0332805	average
YCR091W	KIN82	32	84.71821786	average
YDR283C	GCN2	31	96.8544758	average
YNL099C	OCA1	31	94.96251967	average
YPL203W	TPK2	30	108.908793	average
YDL230W	PTP1	28	101.7429656	average
YDL188C	PPH22	27	97.40493148	average
YPR111W	DBF20	23	124.8297217	low
YKL166C	TPK3	21	84.14337364	low
YBR276C	PPS1	21	102.6940969	low
YAL017W	PSK1	20	123.3857536	low
YIL095W	PRK1	20	116.2383584	low
YOR233W	KIN4	20	76.57137888	low
YJL165C	HAL5	18	110.6474833	low
YPL026C	SKS1	15	100.8609239	low
YDR075W	PPH3	15	110.3000867	low
YOR231W	MKK1	14	87.78168959	low
YIL113W	SDP1	12	102.6584694	low
YMR139W	RIM11	11	89.53800676	low
YMR104C	YPK2	11	109.4790416	low
YKL198C	PTK1	10	114.9654433	low
YJR066W	TOR1	9	112.4260644	low
YPL179W	PPQ1	9	113.5932562	low
YDL214C	PRR2	9	104.4485693	low
YMR216C	SKY1	8	82.39509262	low
YJL095W	BCK1	8	111.0787934	low
YOR208W	PTP2	7	96.35836025	low
YKL161C	YKL161C	7	124.1167474	low
YGL179C	TOS3	7	90.39568805	low
YLL019C	KNS1	6	94.77009748	low
YJR059W	PTK2	6	90.89785773	low
YPR054W	SMK1	5	101.3559183	low
YML057W	CMP2	3	106.0384503	low
YGR203W	YGR203W	3	111.7905262	low
YHR135C	YCK1	1	97.21557934	low
YOR351C	MEK1	1	99.73919819	low
YHR076W	PTC7	1	99.73408777	low
YDL079C	MRK1	0	82.23893562	silent
YDR490C	PKH1	0	95.34306608	silent
YFL033C	Rim15	0	89.23385903	silent
YOL045W	PSK2	0	108.9651108	silent
YGR262C	BUD32	0	120.5141419	silent
YOR061W	CKA2	0	84.80901698	silent
YKL171W	NNK1	0	86.20830551	silent
YKL101W	HSL1	0	99.58038476	silent
YNL307C	MCK1	0	84.90804806	silent
YCR008W	SAT4	0	85.62961388	silent
YMR291W	YMR291W	0	124.9869006	silent
YGL059W	YGL059W	0	102.0251139	silent
YFR014C	CMK1	0	96.59574821	silent
YBR274W	CHK1	0	122.2240603	silent
YLR019W	PSR2	0	102.0018935	silent
YOL100W	PKH2	0	94.41359145	silent
YNL298W	CLA4	0	110.8596295	silent
YLR433C	CNA1	0	112.3339492	silent
YDL006W	PTC1	0	79.66524055	silent
YNR032W	PPG1	0	97.36961765	silent
YBL088C	TEL1	0	101.6256641	silent
YJL128C	PBS2	0	81.49101179	silent
YPR106W	ISR1	0	137.3363929	silent
YHR030C	SLT2	0	117.7171032	silent
YKL168C	KKQ8	0	95.64743044	silent
YGL021W	ALK1	0	89.50508379	silent
YPL141C	YPL141C	0	98.74778979	silent
YOR090C	PTC5	0	97.30083955	silent
YLR113W	HOG1	0	100.9164336	silent
YOL128C	YGK3	0	127.2198348	silent
YGR123C	PPT1	0	129.7430073	silent
YBL009W	ALK2	0	120.3593333	silent
YDR523C	SPS1	0	87.46148576	silent
YPL236C	YPL236C	0	114.0576815	silent
YBR028C	YBR028C	0	94.20128788	silent
YLR248W	RCK2	0	111.7287408	silent
YDR122W	KIN1	0	108.8411961	silent
YHR082C	KSP1	0	118.7626295	silent
YOR267C	HRK1	0	85.72432311	silent
YPL150W	YPL150W	0	103.5224787	silent
YGR040W	KSS1	0	101.4800199	silent
YPR073C	LTP1	0	121.6464741	silent
YBL056W	PTC3	0	113.5150974	silent
YER129W	SAK1	0	80.91470127	silent
YGL180W	ATG1	0	86.59547799	silent
YKL116C	PRR1	0	107.3211179	silent
